科目,章节,题目,答案
地理,东南亚,9.马来群岛以_________气候为主，气候特点是___________________________。,热带雨林；终年高温多雨
地理,东南亚,10.中南半岛下游冲积平原、_________三角洲以及沿海地带农业发达，人口稠密，城市密集。,湄公河
地理,东南亚,11.马六甲海峡位于________岛和________岛之间，是沟通________洋与________洋的天然水道，被日本称为“________”,马来半；苏门答腊；印度；太平；海上生命线
地理,东南亚,12.有花园城市之称的东南亚热带城市岛国是________。,新加坡
地理,东南亚,13.东南亚是________、油棕、椰子、蕉麻等热带经济作物的最大产地。,橡胶
地理,东南亚,"14.东南亚的粮食作物主要是________,矿产资源以________、天然气和________为主。",水稻；石油；锡矿
地理,东南亚,15.东南亚是世界上海外________和________最集中的地区。,华人；华侨
地理,东南亚,16.世界上最大的群岛是________。,马来群岛
地理,南亚,1.南亚的纬度位置：位于10°N~30°N之间，________穿过南亚的中部。,北回归线
地理,南亚,2.南亚的海陆位置：位于亚洲南部________山脉与________洋之间，东临________湾，西临________海。,喜马拉雅；印度；孟加拉；阿拉伯
地理,南亚,3.南亚各国都是________国家，面积最大、人口最多、经济发展最快的国家是________。,发展中；印度
地理,南亚,4.南亚的地形分为三大地形区，北部是________山地，中部是________平原、_________________平原，南部是________高原。,喜马拉雅；印度河；恒河；德干
地理,南亚,"5.印度河主要流经________,注入________海。",巴基斯坦；阿拉伯
地理,南亚,"6.恒河主要流经________,注入________湾。",印度；孟加拉
地理,南亚,7.南亚以________气候为主，全年高温，一年可分为________季、________季、________季三季。,热带季风；热；雨；凉
地理,南亚,8.夏季风给南亚的农业生产带来主要水源，但夏季风的强弱和进退的时间都不稳定，夏季风强且来的早退的晚容易发生________灾害，夏季风弱且来的迟退的早容易发生________灾害。,洪涝；干旱
地理,南亚,9.南亚的粮食作物以________为主，经济作物以________为主。,水稻；茶叶
地理,南亚,10.南亚是________教和________教的发源地。,佛；印度
地理,南亚,"11.南亚额印度和尼泊尔主要信仰________教，斯里兰卡和不丹信仰________,其他国家信仰伊斯兰教。",印度；佛教
地理,南亚,12.“世界七大奇迹”之一的泰姬陵位于________。,印度
地理,南亚,13.南亚人口过亿的国家有：________、________、________,印度、巴基斯坦、孟加拉国
地理,南亚,14.________在恒河下游地区种植面积最广，________主要分布于德干高原西部地区。,黄麻；棉花
地理,西亚,"1.西亚位于“两洋三洲五海之地”,地理位置十分重要，“两洋”指________洋、________洋，“三洲”指________洲、________洲、________洲，",大西；印度；亚；非；欧
地理,西亚,西亚位于“两洋三洲五海之地”，濒临的“五海”指________海、________海、黑海、________海、__________海(世界最大的________)。,红；地中；阿拉伯；里；咸水湖
地理,西亚,2.亚洲和欧洲的分界线________海峡，是________海到________海的唯一出口。,土耳其；黑；地中
地理,西亚,3.西亚的地形以________为主，农业主要分布在________平原(两河平原)处。,高原；美索不达米亚
地理,西亚,4.西亚大部分地区属于________气候，气候特点是________。,热带沙漠；全年炎热干燥
地理,西亚,5.________业是西亚许多国家主要的经济部门。,畜牧
地理,西亚,6.________的节水农业相当发达。________树是西亚绿洲农业的代表植物。,以色列；枣椰
地理,西亚,7.西亚是世界________储量最为丰富、产量和输出量最多的地区，该资源主要分布在_及其沿岸地区。,石油；波斯湾
地理,西亚,8.西亚主要的产油国有________、伊朗、科威特、________等，开采的石油主要输往西欧以及________、日本等国家。,沙特阿拉伯；伊拉克；美国
地理,西亚,9.西亚石油西运路线1:波斯湾→________海峡→印度洋→红海→________运河→地中海→________海峡→大西洋→西欧、美国等。,霍尔木兹；苏伊士；直布罗陀
地理,西亚,10.西亚石油西运路线2:波斯湾→________海峡→印度洋→非洲________→大西洋→西欧、美国等。,霍尔木兹；好望角
地理,西亚,11.西亚石油东运路线：波斯湾→________海峡→印度洋→________海峡→太平洋→日本、中国等。,霍尔木兹；马六甲
地理,西亚,12.西亚的居民主要是________人，属于________人种，通用_________语，多信仰________教。,阿拉伯；白；伊斯兰
地理,西亚,13.西亚是________教、________教、________教的发源地，被奉为这三教的圣城的是________。,伊斯兰；基督；犹太；耶路撒冷
地理,西亚,14.欧佩克(OPEC)是________国组织。,石油输出
地理,欧洲西部,1.欧洲西部指欧洲的西半部，国家大多数属于________国家。,发达
地理,欧洲西部,"2.由欧洲共同体发展而来的“________”,总部设在________,是国际上强大的经济、政治实体，通用货币为________。",欧盟；比利时布鲁塞尔；欧元
地理,欧洲西部,"3.德国是工业大国，首都是________,有著名的_",柏林；慕尼黑啤酒节
地理,欧洲西部,"4.________是工业大国，首都位于________,有“千年古都”罗马(竞技场)，________、________、________。",意大利；罗马；“水城”威尼斯庞贝古城、.比萨斜塔。
地理,欧洲西部,"5.法国工农业均发达，首都位于_________,有“艺术之都”________、________、________凯旋门、________。",巴黎；巴黎、埃菲尔铁塔、巴黎圣母院、罗浮宫
地理,欧洲西部,"6.英国工农业均发达，首都位于________,有________、________、________、________。",伦敦；大本钟、白金汉宫、伦敦塔、马克思墓
地理,欧洲西部,7.________花卉种植业发达，以郁金香、风车闻名。,荷兰
地理,欧洲西部,8.________畜牧业发达，有“欧洲的牧场和食品库”之称。,丹麦
地理,欧洲西部,9.________主要生产钟表和精密仪器，有“钟表王国”之称，以_________、“世界表都”伯尔尼闻名。,瑞士；阿尔卑斯山滑雪
地理,欧洲西部,10.挪威的________发达，以____________风光、_________闻名。,海洋渔业；峡湾；午夜太阳、极光
地理,欧洲西部,11.西班牙位于地中海沿岸，旅游业发达，有阳光灿烂的海滩和________。,斗牛
地理,欧洲西部,12.奥地利的_________有“音乐之都”之称。,维也纳
地理,两极地区,1.北极地区以海洋(________洋)为主，四周被________洲________洲、________洲环绕。,北冰；亚；欧；北美
地理,两极地区,2.南极地区以陆地(________洲)为主，四周被________洋、________洋、________洋环绕。,南极；太平；大西；印度
地理,两极地区,"3.两极地地区的共同气候特征是________,多________,________稀少。",酷寒；狂风，降水
地理,两极地区,4.南极地区因以陆地为主，且海拔高，所以气温比北极地区更________。,低
